alg,suite,fid,dim,run,fbest,err,nfe,hit,time_sec
NLSHADE-RSP,eng,8,3,8,2.000000200000006,1.000000200000006,12002,0,0.3211066722869873
LSHADE,eng,8,3,8,2.000000200000006,1.000000200000006,1320,0,0.03456997871398926
JADE,eng,8,3,8,2.000000200000006,1.000000200000006,2490,0,0.06496405601501465
jSO,eng,8,3,8,2.000000200000006,1.000000200000006,3426,0,0.0913848876953125
Spiral-LSHADE,eng,8,3,8,2.000000200000006,1.000000200000006,12000,0,0.928023099899292
CMAES,eng,8,3,8,2.000000200000006,1.000000200000006,519,0,0.06541562080383301
SciPyDE,eng,8,3,8,2.0021572266428778,1.0021572266428778,1890,0,0.08634018898010254
LBFGSB,eng,8,3,8,2.000000200000006,1.000000200000006,8,0,0.0011725425720214844
PSO,eng,8,3,8,2.000000200000006,1.000000200000006,12020,0,0.981330156326294
GWO,eng,8,3,8,2.000000200000006,1.000000200000006,12020,0,1.1203129291534424
MealpyGA,eng,8,3,8,2.060544676683216,1.0605446766832158,12020,0,1.6062772274017334
SSA,eng,8,3,8,2.0020941232923857,1.0020941232923857,22820,0,2.2680752277374268
NLSHADE-RSP,eng,8,3,9,2.000000200000006,1.000000200000006,12002,0,0.3282473087310791
LSHADE,eng,8,3,9,2.000000200000006,1.000000200000006,1365,0,0.035295963287353516
JADE,eng,8,3,9,2.000000200000006,1.000000200000006,2250,0,0.05768609046936035
jSO,eng,8,3,9,2.000000200000006,1.000000200000006,3251,0,0.08890414237976074
Spiral-LSHADE,eng,8,3,9,2.000000200000006,1.000000200000006,12000,0,0.8989512920379639
CMAES,eng,8,3,9,2.000000200000006,1.000000200000006,477,0,0.06046485900878906
SciPyDE,eng,8,3,9,2.003044717805953,1.003044717805953,1800,0,0.0832815170288086
LBFGSB,eng,8,3,9,2.000000200000006,1.000000200000006,8,0,0.0009069442749023438
PSO,eng,8,3,9,2.000000594593468,1.0000005945934678,12020,0,0.9363703727722168
GWO,eng,8,3,9,2.000000200000006,1.000000200000006,12020,0,1.1086633205413818
MealpyGA,eng,8,3,9,2.039019406969206,1.039019406969206,12020,0,1.6585667133331299
SSA,eng,8,3,9,2.0000069666534497,1.0000069666534497,22820,0,2.206882953643799
NLSHADE-RSP,eng,8,3,10,2.000000200000006,1.000000200000006,12002,0,0.3215677738189697
LSHADE,eng,8,3,10,2.000000200000006,1.000000200000006,1365,0,0.036757707595825195
JADE,eng,8,3,10,2.000000200000006,1.000000200000006,2130,0,0.058074235916137695
